SpecimenID,Family,Genus,Species
29669,Palmaceae,Pyrenoglyphis,major
29670,Indet,Indet,Indet
29671,Leguminosae-Mim.,Samanea,sp.
29672,Anacardiaceae,Anacardium,excelsum
29673,Lauraceae,Indet,Indet
29674,Leguminosae,Andira ,inermis
29675,Apocynaceae,Rauwolfia,heterophylla
29676,Indet,Indet,Indet
29677,Nyctaginaceae,Bougainvillea,glabra
29678,Leguminosae-Mim.,Pithecolobium,oblongum
29679,Sapotaceae,Bumelia,persimilis
29680,Polygonaceae,Coccoloba,densifrons
29681,Leguminosae-Caes.,Brasilettia,platyloba
29682,Malpighiaceae,Stigmaphyllon,fulgens
29683,COMBRETACEAE,Combretum,jacquinii
29684,Leguminosae-Mim.,Inga,spuria
29685,Bignoniaceae,Memora,romeroi
29686,Santalaceae,Acanthosyris,colombiana
29687,Moraceae,Ficus,radula
29688,Leguminosae-Mim.,Mimosa,pigra
29689,Lythraceae,Lawsonia,inermis
29690,Vitaceae,Cissus,sicyoides
29691,Leguminosae-Papil.,Erythrina,fusca
29692,Boraginaceae,Cordia,curassavica
29693,Palmaceae,Bactris,major
29694,Capparidaceae,Crataeva,tapia
29695,Bignoniaceae,Tabebuia,pentaphylla
29696,Nyctaginaceae,Pisonia,sp.
29697,Vitaceae,Cissus,sicyoides
29698,Vitaceae,Cissus,sicyoides
29699,Euphorbiaceae,Euphorbia,nudiflora
29700,Rubiaceae,Mapouria,microdon 
29701,Solanaceae,Cestrum,nocturnum
29702,Euphorbiaceae,Adelia,triloba
29703,Flacourtiaceae,Casearia,tremula
29704,Euphorbiaceae,Croton,fragilis
29705,Leguminosae-Papil.,Machaerium,sp.
29706,Malpighiaceae,Stigmaphyllon,fulgens
29707,Capparidaceae,Stuebelia,nemorosa
29708,Cucurbitaceae,Fevillea,cordifolia
29709,Leguminosae-Caes.,Cercis,canadensis
29710,Proteaceae,Cardwellia,sublimis
29711,Celastraceae,Gymnosporia,senegalensis
29712,Rutaceae,Citropsis,articulata
29713,Olacaceae,Olax,subscorpioidea
29714,Meliaceae,Khaya,grandifoliola
29715,Passifloraceae,Smeathmannia,pubescens
29716,Leguminosae,Erythrophleum,suaveolens
29717,Indet,Indet,Indet
29718,Euphorbiaceae,Drypetes,principum
29719,Rubiaceae,Randia,maculata
29720,Polygalaceae,Securidaca,longipedunculata
29721,Oleaceae,Linociera,johnsonii
29722,Rubiaceae,Randia,stenophylla
29723,Simarubaceae,Balanites,aegyptica
29724,Passifloraceae,Crossostemma,lauriflolium
29725,Melastomataceae,Memecylon,cinnamomioides
29726,Rhamnaceae,Lasiodiscus,chevalieri
29727,Erythroxylaceae,Erytroxylum,Mannii
29728,Simarubaceae,Hannoa,undulata
29729,Anonaceae,Cleistopholis,patens
29730,Umbelliferae,Peucedanum,araliaceum
29731,Olacaceae,Aptandra,zenkeri
29732,Labiatae,Hoslundia,opposita
29733,Aquifoliaceae,Ilex,sandwicensis
29734,Araliaceae,Tetraplasandra,sandwicensis
29735,Celastraceae,Perrottetia,sandwicensis
29736,Elaeocarpaceae,Elaeocarpus,bifidus
29737,Euphorbiaceae,Aleurites,moluccana
29738,Euphorbiaceae,Antidesma,platyphyllum
29739,Leguminosae-Mim.,Acacia,koa
29740,Leguminosae-Papil.,Erythrina,tahitensis
29741,Leguminosae-Papil.,Sophora,chrysophylla
29742,Malvaceae,Hibiscus,arnottianus
29743,Moraceae,Artocarpus,altilis
29744,Myrsinaceae,Suttonia,lessertiana
29745,Myrtaceae,Metrosideros,tremuloides
29746,Myrtaceae,Eugenia,sandwicensis
29747,Pandanaceae,Pandanus,tectorius
29748,Rubiaceae,Coprosma,foliosa
29749,Rubiaceae,Morinda,citrifolia
29750,Rubiaceae,Plectronia,odorata
29751,Rutaceae,pelea,sandwicensis
29752,Rutaceae,Zanthoxylum,dipetalum
29753,Santalaceae,Santalum,cuneatum
29754,Santalaceae,Santalum,freycinetianum
29755,Sapindaceae,Dodonaea,eriocarpa
29756,Sapindaceae,Sapindus,oahuensis
29757,Sapotaceae,Nesoluma,(Chrysophyllum) polynesicum
29758,Ericaceae,Comarostaphylis,diversifolia
29759,Gramineae,Bambusa,vulgaris
29760,Missing,Missing,Missing
29761,Gramineae,Bambusa,vulgaris
29762,Rubiaceae,Neonauclea,hagenii
29763,Lecythidaceae,Barringtonia,procera
29764,Burseraceae,Canarium,mehenbethene
29765,Burseraceae,Canarium,mehenbethene
29766,Rubiaceae,Cosmocalyx,spectabilis
29767,Ebenaceae,Diospyros,kaki
29768,Ebenaceae,Diospyros,lotus
29769,Juglandaceae,Juglans,mandshurica
29770,Cercidiphyllaceae,Cercidiphyllum,japonicum
29771,Cupressaceae,Juniperus,chinensis
29772,Pinaceae,Abies,veitchii
29773,Pinaceae,Pinus,koraiensis
29774,Pinaceae,Pinus,thunbergii
29775,Taxodiaceae,Sciadopitys,verticillata
29776,Sapindaceae,Cupania,sp.
29777,Linaceae,Ctenolophon,englerianus
29778,Linaceae,Hugonia,serrata
29779,Linaceae,Ixonanthes,aeticulata
29780,Linaceae,Ixonanthes,khasiana
29781,Linaceae,Ochthocosmus,africanus
29782,Caprifoliaceae,Dipelta,floribunda
29783,Compositae,Psiadia,rotundifolia
29784,Humiriaceae,Sacoglottis,gabonensis
29785,Asteropeiaceae,Asteropeia,micraster
29786,Indet,Indet,Indet
29787,Monimiaceae,Hortonia,angustifolia
29788,Monimiaceae,Hortonia,floribiunda
29789,Missing,Missing,Missing
29790,Missing,Missing,Missing
29791,Hamamelidaceae,Liquidambar,formosana
29792,Nyssaceae,Davidia,involucrata
29793,Styracaceae,Pterostyrax,hispidum
29794,Nyssaceae,Davidia,involucrata
29795,Rhoipteleaceae,Rhoiptelea,chiliantha
29796,Styracaceae,Melliodendron,xylocarpum
29797,Styracaceae,Melliodendron,xylocarpum
29798,Hamamelidaceae,Liquidambar,formosana
29799,Styracaceae,Alniphyllum,fortunei
29800,Hamamelidaceae,Altingia,chinensis
29801,Hamamelidaceae,Bucklandia,populnea
29802,Styracaceae,Styrax,elaeagnifolius
29803,Hamamelidaceae,Bucklandia,populnea
29804,Hamamelidaceae,Loropetalum,chinensis
29805,Styracaceae,Styrax,philadelphoides
29806,Hamamelidaceae,Hamamelis,mellis
29807,Hamamelidaceae,Distylium,myricoides
29808,Styracaceae,Alniphyllum,fortunei
29809,Styracaceae,Rehderodendron,rostratum
29810,Hamamelidaceae,Bucklandia,populnea
29811,Styracaceae,Halesia,macgregorii
29812,Bretschneideraceae,Bretschneidera,sinensis
29813,Styracaceae,Rehderodendron,kwangtungense
29814,Nyssaceae,Nyssa,sinensis
29815,Styracaceae,Halesia,macgregorii
29816,Missing,Missing,Missing
29817,Missing,Missing,Missing
29818,Hamamelidaceae,Liquidambar,formosana
29819,Hamamelidaceae,Hamamelis,mollis
29820,Hamamelidaceae,Loropetalum,chinense
29821,Hamamelidaceae,Distylium,myricoides
29822,Styracaceae,Styrax,philadelphus
29823,Styracaceae,Sinojackia,xylocarpa
