SpecimenID,Genus,Species,Family,Unnamed: 4
480,Abies,lasiocarpa,,
481,Abies,lasiocarpa,,
482,Nectandra,sp.,,
483,Abies,lasiocarpa,,
484,Abies,lasiocarpa,,
485,Abies,lasiocarpa,,
486,Abies,lasiocarpa,,
487,Abies,lasiocarpa,,
488,Abies,lasiocarpa,,
489,Abies,lasiocarpa,,
490,Abies,procera,,
491,Abies,procera,,
492,Abies,procera,,
493,Abies,procera,,
494,Abies,bracteata,,
495,Abies,bracteata,,
496,Abies,bracteata,,
497,Abies,bracteata,,
498,Abies,bracteata,,
499,Abies,bracteata,,
500,Abies,bracteata,,
501,Abies,balsamea,,
502,Endlicheria,sp.,,
503,Cymbopetalum,longipes,,
504,Abies,balsamea,,
505,Abies,balsamea,,
506,Abies,balsamea,,
507,Abies,balsamea,,
508,,,,
509,Abies,balsamea,,
510,Abies,concolor,,
511,Abies,concolor,,
512,Abies,concolor,,
513,Thuja,occidentalis,,
514,Guarea,crispa,,
515,Thuja,occidentalis,,
516,Thuja,occidentalis,,
517,Thuja,occidentalis,,
518,,,,
519,Thuja,occidentalis,,
520,Thuja,occidentalis,,
521,Thuja,occidentalis,,
522,Trichilia,bullata,,
523,Thuja,plicata,,
524,Thuja,plicata,,
525,Thuja,plicata,,
526,Thuja,plicata,,
527,Thuja,plicata,,
528,Thuja,plicata,,
529,Thuja,plicata,,
530,Thuja,plicata,,
531,Thuja,plicata,,
532,Thuja,plicata,,
533,Thuja,plicata,,
534,Hirtella,duckei,,
535,Calocedrus,decurrens,,
536,Calocedrus,decurrens,,
537,Calocedrus,decurrens,,
538,Calocedrus,decurrens,,
539,Calocedrus,decurrens,,
540,Couepia,paraensis,,
541,Taxodium,distichum,,
542,Taxodium,distichum,,
543,Taxodium,distichum,,
544,Taxodium,distichum,,
545,Taxodium,distichum,,
546,Taxodium,distichum,,
547,Taxodium,distichum,,
548,Taxodium,distichum,,
549,Taxodium,distichum,,
550,Taxodium,distichum,,
551,Taxodium,distichum,,
552,Taxodium,distichum,,
553,Taxodium,distichum,,
554,Taxodium,distichum,,
555,Taxodium,distichum,,
556,Taxodium,distichum,,
557,Taxodium,distichum,,
558,Taxodium,distichum,,
559,Taxodium,distichum,,
560,Taxodium,distichum,,
561,Sequoia,sempervirens,,
562,Sequoia,sempervirens,,
563,Sequoia,sempervirens,,
564,Sequoia,sempervirens,,
565,Sequoia,sempervirens,,
566,Sequoia,sempervirens,,
567,Sequoia,gigantea,,
568,Sequoia,gigantea,,
569,Sequoia,sempervirens,,
570,Sequoia,gigantea,,
571,Sequoia,gigantea,,
572,Sequoia,sempervirens,,
573,Cupressus,arizonica,,
574,Cupressus,macnabiana,,
575,Cupressus,goveniana,,
576,Cupressus,macrocarpa,,
577,Acer,barbatum,,
578,Tilia,caroliniana,,
579,Cupressus,arizonica,,
580,Cupressus,arizonica,,
581,Celtis,laevigata,,
582,Licania,heteromorpha,,
583,Cupressus,arizonica,,
